ProductName,CustomerID,Date,Region,Latitude,Longitude,Price,Segment,Shipping,Customer_type,Final_price
Ipod,Acct-000007,07/1/2016,Atlanta,33.755431,-84.391561,2000.0,Gadgets,Free,Existing,2000.0
Keyboard,Acct-000986,07/1/2016,Atlanta,34.0354213,-84.0608807,1000.0,Gadgets,Free,New,1000.0
Speakers,Acct-000986,07/1/2016,Atlanta,34.036374200000004,-84.0633047,5500.0,Gadgets,Free,New,5500.0
Earphones,Acct-000011,07/1/2016,Atlanta,33.755431,-84.391561,2599.0,Gadgets,Free,Existing,2599.0
Notebook,Acct-000011,07/1/2016,Atlanta,33.933876500000004,-84.3530428,75000.0,Gadgets,Free,Existing,75000.0
Speakers,Acct-000143,07/1/2016,Atlanta,33.783427,-84.38855699999998,5500.0,Gadgets,Free,New,5500.0
Lan,Acct-000143,07/1/2016,Atlanta,33.783427,-84.38855699999998,1200.0,Gadgets,Free,New,1200.0
Mouse,Acct-000011,07/1/2016,Atlanta,33.755431,-84.391561,900.0,Gadgets,Free,Existing,900.0
Lan,Acct-000011,07/1/2016,Atlanta,33.933876500000004,-84.3530428,1200.0,Gadgets,Free,Existing,1200.0
Mobiles,Acct-000191,07/1/2016,Atlanta,33.7775391,-84.42146109999999,15000.0,Gadgets,Free,Existing,15000.0
Mobiles,Acct-000191,07/1/2016,Atlanta,33.841315,-84.522539,15000.0,Gadgets,Free,Existing,15000.0
Notebook,Acct-000191,07/1/2016,Atlanta,33.916299,-84.3503,75000.0,Gadgets,Free,Existing,75000.0
Mobiles,Acct-000191,07/1/2016,Atlanta,33.915657200000005,-84.34098399999998,15000.0,Gadgets,Free,Existing,15000.0
PenDrive,Acct-000950,07/1/2016,Atlanta,33.755431,-84.391561,2500.0,Gadgets,Free,New,2500.0
Lan,Acct-000950,07/1/2016,Denver,39.745886,-104.9794996,1200.0,Gadgets,Paid,New,1296.0
Earphones,Acct-000950,07/1/2016,Dallas,32.787255,-96.794118,2599.0,Gadgets,Paid,New,2728.95
Notebook,Acct-000427,07/1/2016,Dallas,32.800805,-96.819612,75000.0,Gadgets,Paid,New,78750.0
PenDrive,Acct-000427,07/1/2016,Dallas,32.800805,-96.819612,2500.0,Gadgets,Paid,New,2625.0
Lan,Acct-000034,07/2/2016,Dallas,32.800805,-96.819612,1200.0,Gadgets,Paid,Existing,1260.0
Lan,Acct-000034,07/2/2016,Denver,39.5873873,-104.876543,1200.0,Gadgets,Paid,Existing,1296.0
Keyboard,Acct-000034,07/2/2016,Denver,39.5770328,-104.8631422,1000.0,Gadgets,Paid,Existing,1080.0
Mouse,Acct-000469,07/1/2016,Dallas,32.800805,-96.819612,900.0,Gadgets,Paid,New,945.0
Speakers,Acct-000469,07/1/2016,Dallas,33.0093307,-96.6764626,5500.0,Gadgets,Paid,New,5775.0
Earphones,Acct-000469,07/1/2016,Dallas,32.787255,-96.794118,2599.0,Gadgets,Paid,New,2728.95
Mobiles,Acct-000469,07/1/2016,Dallas,33.0093307,-96.6764626,15000.0,Gadgets,Paid,New,15750.0
Earphones,Acct-000427,07/1/2016,Dallas,32.800805,-96.819612,2599.0,Gadgets,Paid,New,2728.95
PenDrive,Acct-000435,07/2/2016,Atlanta,33.755431,-84.391561,2500.0,Gadgets,Free,Existing,2500.0
Mobiles,Acct-000938,07/2/2016,Dallas,33.005724,-96.736843,15000.0,Gadgets,Paid,New,15750.0
Earphones,Acct-000938,07/2/2016,Dallas,32.98064,-97.17446,2599.0,Gadgets,Paid,New,2728.95
Speakers,Acct-000938,07/2/2016,Dallas,32.92630250000001,-96.9852418,5500.0,Gadgets,Paid,New,5775.0
Lan,Acct-000938,07/2/2016,Dallas,33.005724,-96.736843,1200.0,Gadgets,Paid,New,1260.0
PenDrive,Acct-000938,07/2/2016,Dallas,32.92630250000001,-96.9852418,2500.0,Gadgets,Paid,New,2625.0
Mouse,Acct-000056,07/5/2016,Dallas,32.99042,-96.651985,900.0,Gadgets,Paid,Existing,945.0
Speakers,Acct-000056,07/5/2016,Dallas,32.830009999999994,-97.04868,5500.0,Gadgets,Paid,Existing,5775.0
Keyboard,Acct-000019,07/5/2016,Denver,39.5643596,-104.8665482,1000.0,Gadgets,Paid,Existing,1080.0
Notebook,Acct-000019,07/5/2016,Dallas,32.800805,-96.819612,75000.0,Gadgets,Paid,Existing,78750.0
Keyboard,Acct-000019,07/5/2016,Denver,39.5643596,-104.8665482,1000.0,Gadgets,Paid,Existing,1080.0
Notebook,Acct-001119,07/5/2016,Denver,39.762776,-104.762111,75000.0,Gadgets,Paid,New,81000.0
Ipod,Acct-000019,07/5/2016,Dallas,32.800805,-96.819612,2000.0,Gadgets,Paid,Existing,2100.0
PenDrive,Acct-001120,07/6/2016,Dallas,32.94136,-97.130087,2500.0,Gadgets,Paid,New,2625.0
Mobiles,Acct-000944,07/6/2016,Dallas,32.800805,-96.819612,15000.0,Gadgets,Paid,New,15750.0
Mouse,Acct-000944,07/6/2016,Dallas,33.0064731,-96.6917456,900.0,Gadgets,Paid,New,945.0
PenDrive,Acct-000944,07/6/2016,Dallas,32.992076000000004,-96.930441,2500.0,Gadgets,Paid,New,2625.0
Hard Drive,Acct-000944,07/6/2016,Dallas,32.8970767,-96.9829687,5000.0,Gadgets,Paid,New,5250.0
PenDrive,Acct-000116,07/6/2016,Denver,39.5873873,-104.876543,2500.0,Gadgets,Paid,Existing,2700.0
Speakers,Acct-000036,07/6/2016,Atlanta,33.755431,-84.391561,5500.0,Gadgets,Free,Existing,5500.0
Mobiles,Acct-000141,07/6/2016,Dallas,32.800805,-96.819612,15000.0,Gadgets,Paid,New,15750.0
Earphones,Acct-000141,07/6/2016,Atlanta,33.787690000000005,-84.38296899999997,2599.0,Gadgets,Free,New,2599.0
Hard Drive,Acct-000141,07/6/2016,Dallas,33.07242,-96.82369,5000.0,Gadgets,Paid,New,5250.0
Earphones,Acct-000038,07/6/2016,Denver,39.5913091,-104.8470746,2599.0,Gadgets,Paid,Existing,2806.92
Speakers,Acct-000448,07/6/2016,Denver,39.745216,-104.989305,5500.0,Gadgets,Paid,New,5940.0
Mobiles,Acct-001020,07/6/2016,Atlanta,33.74426500000001,-84.581427,15000.0,Gadgets,Free,Existing,15000.0
PenDrive,Acct-000409,07/6/2016,Dallas,32.800805,-96.819612,2500.0,Gadgets,Paid,New,2625.0
Lan,Acct-000382,07/6/2016,Denver,39.777368,-104.968254,1200.0,Gadgets,Paid,New,1296.0
Mobiles,Acct-000604,07/6/2016,Atlanta,33.7775391,-84.42146109999999,15000.0,Gadgets,Free,New,15000.0
Earphones,Acct-000604,07/6/2016,Atlanta,33.9381625,-84.2267439,2599.0,Gadgets,Free,New,2599.0
Mobiles,Acct-000035,07/6/2016,Denver,39.74556,-104.995682,15000.0,Gadgets,Paid,Existing,16200.0
Keyboard,Acct-000949,07/6/2016,Dallas,33.064858,-96.810993,1000.0,Gadgets,Paid,New,1050.0
Earphones,Acct-000579,07/7/2016,Denver,39.74519179999999,-104.9792774,2599.0,Gadgets,Paid,Existing,2806.92
Keyboard,Acct-000340,07/7/2016,Atlanta,33.657159,-84.415204,1000.0,Gadgets,Free,Existing,1000.0
Hard Drive,Acct-000340,07/7/2016,Atlanta,33.9274748,-84.1849962,5000.0,Gadgets,Free,Existing,5000.0
Earphones,Acct-000340,07/7/2016,Atlanta,33.657159,-84.415204,2599.0,Gadgets,Free,Existing,2599.0
Mobiles,Acct-000340,07/7/2016,Atlanta,33.9260138,-84.32682690000001,15000.0,Gadgets,Free,Existing,15000.0
Earphones,Acct-000340,07/7/2016,Atlanta,33.880008000000004,-84.45719799999998,2599.0,Gadgets,Free,Existing,2599.0
Earphones,Acct-000340,07/7/2016,Atlanta,33.9274748,-84.1849962,2599.0,Gadgets,Free,Existing,2599.0
Lan,Acct-000324,07/7/2016,Dallas,32.807183,-96.868566,1200.0,Gadgets,Paid,New,1260.0
Mouse,Acct-000324,07/7/2016,Dallas,32.800805,-96.819612,900.0,Gadgets,Paid,New,945.0
Keyboard,Acct-001020,07/7/2016,Atlanta,33.74426500000001,-84.581427,1000.0,Gadgets,Free,Existing,1000.0
Mouse,Acct-000002,07/7/2016,Dallas,32.800805,-96.819612,900.0,Gadgets,Paid,Existing,945.0
Hard Drive,Acct-000002,07/7/2016,Dallas,32.800805,-96.819612,5000.0,Gadgets,Paid,Existing,5250.0
Hard Drive,Acct-000002,07/7/2016,Dallas,32.787255,-96.794118,5000.0,Gadgets,Paid,Existing,5250.0
Hard Drive,Acct-001121,07/7/2016,Atlanta,33.849889000000005,-84.363949,5000.0,Gadgets,Free,New,5000.0
Lan,Acct-000948,07/7/2016,Dallas,32.800805,-96.819612,1200.0,Gadgets,Paid,Existing,1260.0
Mobiles,Acct-000545,07/7/2016,Dallas,32.778334,-96.79855,15000.0,Gadgets,Paid,New,15750.0
Earphones,Acct-000341,07/7/2016,Dallas,32.787255,-96.794118,2599.0,Gadgets,Paid,New,2728.95
Notebook,Acct-000579,07/7/2016,Denver,39.74519179999999,-104.9792774,75000.0,Gadgets,Paid,Existing,81000.0
Speakers,Acct-000341,07/7/2016,Dallas,32.787255,-96.794118,5500.0,Gadgets,Paid,New,5775.0
Hard Drive,Acct-000036,07/7/2016,Dallas,32.89366,-96.965954,5000.0,Gadgets,Paid,Existing,5250.0
Notebook,Acct-000948,07/7/2016,Dallas,32.800805,-96.819612,75000.0,Gadgets,Paid,Existing,78750.0
Keyboard,Acct-000293,07/7/2016,Atlanta,33.755431,-84.391561,1000.0,Gadgets,Free,New,1000.0
Keyboard,Acct-000293,07/7/2016,Dallas,32.800805,-96.819612,1000.0,Gadgets,Paid,New,1050.0
Keyboard,Acct-000293,07/7/2016,Atlanta,33.729225,-84.420197,1000.0,Gadgets,Free,New,1000.0
Mouse,Acct-000246,07/7/2016,Dallas,32.9301381,-97.1042919,900.0,Gadgets,Paid,New,945.0
Hard Drive,Acct-000948,07/7/2016,Dallas,32.800805,-96.819612,5000.0,Gadgets,Paid,Existing,5250.0
Notebook,Acct-000025,07/8/2016,Atlanta,33.953309000000004,-84.521827,75000.0,Gadgets,Free,Existing,75000.0
Earphones,Acct-000025,07/8/2016,Atlanta,34.034958,-84.572221,2599.0,Gadgets,Free,Existing,2599.0
Keyboard,Acct-000273,07/7/2016,Dallas,32.749437,-97.1162988,1000.0,Gadgets,Paid,Existing,1050.0
PenDrive,Acct-000948,07/8/2016,Dallas,32.800805,-96.819612,2500.0,Gadgets,Paid,Existing,2625.0
Mobiles,Acct-000958,07/8/2016,Denver,39.680732,-104.937182,15000.0,Gadgets,Paid,New,16200.0
Speakers,Acct-000948,07/8/2016,Dallas,32.800805,-96.819612,5500.0,Gadgets,Paid,Existing,5775.0
Speakers,Acct-000545,07/8/2016,Dallas,32.7474538,-97.0409166,5500.0,Gadgets,Paid,New,5775.0
Keyboard,Acct-000333,07/8/2016,Atlanta,33.755431,-84.391561,1000.0,Gadgets,Free,New,1000.0
Earphones,Acct-000333,07/8/2016,Dallas,32.800805,-96.819612,2599.0,Gadgets,Paid,New,2728.95
Earphones,Acct-000286,07/8/2016,Dallas,32.800805,-96.819612,2599.0,Gadgets,Paid,Existing,2728.95
Mobiles,Acct-000286,07/8/2016,Dallas,32.800805,-96.819612,15000.0,Gadgets,Paid,Existing,15750.0
PenDrive,Acct-000408,07/8/2016,Dallas,32.8217917,-96.8736451,2500.0,Gadgets,Paid,New,2625.0
Earphones,Acct-001122,07/8/2016,Atlanta,33.755431,-84.391561,2599.0,Gadgets,Free,New,2599.0
Mouse,Acct-000038,07/8/2016,Atlanta,34.0354213,-84.0608807,900.0,Gadgets,Free,Existing,900.0
